"module name","name","version","description","licenses","licenseFile","licenseModified"
"color-name@1.1.3","color-name","1.1.3","A list of color names and its values","MIT","node_modules/license-checker/node_modules/color-name/LICENSE",""
"color-name@1.1.4","color-name","1.1.4","A list of color names and its values","MIT","node_modules/color-name/LICENSE",""
"combined-stream@1.0.8","combined-stream","1.0.8","A stream that emits multiple other streams one after another.","MIT","node_modules/combined-stream/License",""
"commander@4.1.1","commander","4.1.1","the complete solution for node.js command-line programs","MIT","node_modules/commander/LICENSE",""
"commander@6.2.0","commander","6.2.0","the complete solution for node.js command-line programs","MIT","node_modules/swagger-jsdoc/node_modules/commander/LICENSE",""
"commander@9.4.1","commander","9.4.1","the complete solution for node.js command-line programs","MIT","node_modules/z-schema/node_modules/commander/LICENSE",""
"component-emitter@1.3.0","component-emitter","1.3.0","Event emitter","MIT","node_modules/component-emitter/LICENSE",""
"concat-map@0.0.1","concat-map","0.0.1","concatenative mapdashery","MIT","node_modules/concat-map/LICENSE",""
"configstore@5.0.1","configstore","5.0.1","Easily load and save config without having to think about where and how","BSD-2-Clause","node_modules/configstore/license",""
"content-disposition@0.5.4","content-disposition","0.5.4","Create and parse Content-Disposition header","MIT","node_modules/content-disposition/LICENSE",""
"content-type@1.0.4","content-type","1.0.4","Create and parse HTTP Content-Type header","MIT","node_modules/content-type/LICENSE",""
"convert-source-map@1.9.0","convert-source-map","1.9.0","Converts a source-map from/to  different formats and allows adding/changing properties.","MIT","node_modules/@babel/core/node_modules/convert-source-map/LICENSE",""
"convert-source-map@2.0.0","convert-source-map","2.0.0","Converts a source-map from/to  different formats and allows adding/changing properties.","MIT","node_modules/convert-source-map/LICENSE",""
"cookie-signature@1.0.6","cookie-signature","1.0.6","Sign and unsign cookies","MIT","node_modules/cookie-signature/Readme.md",""
"cookie@0.5.0","cookie","0.5.0","HTTP server cookie parsing and serialization","MIT","node_modules/cookie/LICENSE",""
"cookiejar@2.1.3","cookiejar","2.1.3","simple persistent cookiejar system","MIT","node_modules/cookiejar/LICENSE",""
"create-require@1.1.1","create-require","1.1.1","Polyfill for Node.js module.createRequire (<= v12.2.0)","MIT","node_modules/create-require/LICENSE",""
"cross-spawn@7.0.3","cross-spawn","7.0.3","Cross platform child_process#spawn and child_process#spawnSync","MIT","node_modules/cross-spawn/LICENSE",""
"crypto-random-string@2.0.0","crypto-random-string","2.0.0","Generate a cryptographically strong random string","MIT","node_modules/crypto-random-string/license",""
"debug@2.6.9","debug","2.6.9","small debugging utility","MIT","node_modules/debug/LICENSE",""
"debug@3.2.7","debug","3.2.7","small debugging utility","MIT","node_modules/license-checker/node_modules/debug/LICENSE",""
"debug@4.3.4","debug","4.3.4","Lightweight debugging utility for Node.js and the browser","MIT","node_modules/@babel/traverse/node_modules/debug/LICENSE",""
"debuglog@1.0.1","debuglog","1.0.1","backport of util.debuglog from node v0.11","MIT","node_modules/debuglog/LICENSE",""
"decompress-response@3.3.0","decompress-response","3.3.0","Decompress a HTTP response if needed","MIT","node_modules/decompress-response/license",""
"dedent@0.7.0","dedent","0.7.0","An ES6 string tag that strips indentation from multi-line strings","MIT","node_modules/dedent/LICENSE",""
"deep-extend@0.6.0","deep-extend","0.6.0","Recursive object extending","MIT","node_modules/deep-extend/LICENSE",""
"deepmerge@4.2.2","deepmerge","4.2.2","A library for deep (recursive) merging of Javascript objects","MIT","node_modules/deepmerge/license.txt",""
"defer-to-connect@1.1.3","defer-to-connect","1.1.3","The safe way to handle the `connect` socket event","MIT","node_modules/defer-to-connect/LICENSE",""
"delayed-stream@1.0.0","delayed-stream","1.0.0","Buffers events from a stream until you are ready to handle them.","MIT","node_modules/delayed-stream/License",""
"depd@2.0.0","depd","2.0.0","Deprecate all the things","MIT","node_modules/depd/LICENSE",""
"destroy@1.2.0","destroy","1.2.0","destroy a stream if possible","MIT","node_modules/destroy/LICENSE",""
"detect-newline@3.1.0","detect-newline","3.1.0","Detect the dominant newline character of a string","MIT","node_modules/detect-newline/license",""
"dezalgo@1.0.4","dezalgo","1.0.4","Contain async insanity so that the dark pony lord doesn't eat souls","ISC","node_modules/dezalgo/LICENSE",""
"diff-sequences@29.3.1","diff-sequences","29.3.1","Compare items in two sequences to find a longest common subsequence","MIT","node_modules/diff-sequences/LICENSE",""
"diff@4.0.2","diff","4.0.2","A javascript text diff implementation.","BSD-3-Clause","node_modules/diff/LICENSE",""
"doctrine@3.0.0","doctrine","3.0.0","JSDoc parser","Apache-2.0","node_modules/doctrine/LICENSE",""
"dot-prop@5.3.0","dot-prop","5.3.0","Get, set, or delete a property from a nested object using a dot path","MIT","node_modules/dot-prop/license",""
"dotenv@16.0.3","dotenv","16.0.3","Loads environment variables from .env file","BSD-2-Clause","node_modules/dotenv/LICENSE",""
"duplexer3@0.1.5","duplexer3","0.1.5","Like duplexer but using streams3","BSD-3-Clause","node_modules/duplexer3/license",""
"ee-first@1.1.1","ee-first","1.1.1","return the first event in a set of ee/event pairs","MIT","node_modules/ee-first/LICENSE",""
"electron-to-chromium@1.4.284","electron-to-chromium","1.4.284","Provides a list of electron-to-chromium version mappings","ISC","node_modules/electron-to-chromium/LICENSE",""
"emittery@0.13.1","emittery","0.13.1","Simple and modern async event emitter","MIT","node_modules/emittery/license",""
"emoji-regex@8.0.0","emoji-regex","8.0.0","A regular expression to match all Emoji-only symbols as per the Unicode Standard.","MIT","node_modules/emoji-regex/LICENSE-MIT.txt",""
"encodeurl@1.0.2","encodeurl","1.0.2","Encode a URL to a percent-encoded form, excluding already-encoded sequences","MIT","node_modules/encodeurl/LICENSE",""
"end-of-stream@1.4.4","end-of-stream","1.4.4","Call a callback when a readable/writable/duplex stream has completed or failed.","MIT","node_modules/end-of-stream/LICENSE",""
"entities@2.1.0","entities","2.1.0","Encode & decode XML and HTML entities with ease","BSD-2-Clause","node_modules/entities/LICENSE",""
"error-ex@1.3.2","error-ex","1.3.2","Easy error subclassing and stack customization","MIT","node_modules/error-ex/LICENSE",""
"escalade@3.1.1","escalade","3.1.1","A tiny (183B to 210B) and fast utility to ascend parent directories","MIT","node_modules/escalade/license",""
"escape-goat@2.1.1","escape-goat","2.1.1","Escape a string for use in HTML or the inverse","MIT","node_modules/escape-goat/license",""
"escape-html@1.0.3","escape-html","1.0.3","Escape string for use in HTML","MIT","node_modules/escape-html/LICENSE",""
"escape-string-regexp@1.0.5","escape-string-regexp","1.0.5","Escape RegExp special characters","MIT","node_modules/license-checker/node_modules/escape-string-regexp/license",""
"escape-string-regexp@2.0.0","escape-string-regexp","2.0.0","Escape RegExp special characters","MIT","node_modules/escape-string-regexp/license",""
"esprima@4.0.1","esprima","4.0.1","ECMAScript parsing infrastructure for multipurpose analysis","BSD-2-Clause","node_modules/esprima/LICENSE.BSD",""
"esutils@2.0.3","esutils","2.0.3","utility box for ECMAScript language tools","BSD-2-Clause","node_modules/esutils/LICENSE.BSD",""
"etag@1.8.1","etag","1.8.1","Create simple HTTP ETags","MIT","node_modules/etag/LICENSE",""
"execa@5.1.1","execa","5.1.1","Process execution for humans","MIT","node_modules/execa/license",""
"exit@0.1.2","exit","0.1.2","A replacement for process.exit that ensures stdio are fully drained before exiting.","MIT","node_modules/exit/LICENSE-MIT",""
"expect@29.3.1","expect","29.3.1","This package exports the `expect` function used in [Jest](https://jestjs.io/). You can find its documentation [on Jest's website](https://jestjs.io/docs/expect).","MIT","node_modules/expect/LICENSE",""
"express@4.18.2","express","4.18.2","Fast, unopinionated, minimalist web framework","MIT","node_modules/express/LICENSE",""
"fast-deep-equal@3.1.3","fast-deep-equal","3.1.3","Fast deep equal","MIT","node_modules/fast-deep-equal/LICENSE",""
"fast-json-stable-stringify@2.1.0","fast-json-stable-stringify","2.1.0","deterministic `JSON.stringify()` - a faster version of substack's json-stable-strigify without jsonify","MIT","node_modules/fast-json-stable-stringify/LICENSE",""
"fast-safe-stringify@2.1.1","fast-safe-stringify","2.1.1","Safely and quickly serialize JavaScript objects","MIT","node_modules/fast-safe-stringify/LICENSE",""
"fast-xml-parser@4.0.12","fast-xml-parser","4.0.12","Validate XML, Parse XML, Build XML without C/C++ based libraries","MIT","node_modules/fast-xml-parser/LICENSE",""
"fb-watchman@2.0.2","fb-watchman","2.0.2","Bindings for the Watchman file watching service","Apache-2.0","node_modules/fb-watchman/README.md",""
"fill-range@7.0.1","fill-range","7.0.1","Fill in a range of numbers or letters, optionally passing an increment or `step` to use, or create a regex-compatible range with `options.toRegex`","MIT","node_modules/fill-range/LICENSE",""
"finalhandler@1.2.0","finalhandler","1.2.0","Node.js final http responder","MIT","node_modules/finalhandler/LICENSE",""
"find-up@4.1.0","find-up","4.1.0","Find a file or directory by walking up parent directories","MIT","node_modules/find-up/license",""
"follow-redirects@1.15.2","follow-redirects","1.15.2","HTTP and HTTPS modules that follow redirects.","MIT","node_modules/follow-redirects/LICENSE",""
"form-data@4.0.0","form-data","4.0.0","A library to create readable "multipart/form-data" streams. Can be used to submit forms and file uploads to other web applications.","MIT","node_modules/form-data/License",""
"formidable@2.1.1","formidable","2.1.1","A node.js module for parsing form data, especially file uploads.","MIT","node_modules/formidable/LICENSE",""
"forwarded@0.2.0","forwarded","0.2.0","Parse HTTP X-Forwarded-For header","MIT","node_modules/forwarded/LICENSE",""
"fresh@0.5.2","fresh","0.5.2","HTTP response freshness testing","MIT","node_modules/fresh/LICENSE",""
"fs.realpath@1.0.0","fs.realpath","1.0.0","Use node's fs.realpath, but fall back to the JS implementation if the native one fails","ISC","node_modules/fs.realpath/LICENSE",""
"fs@0.0.1-security","fs","0.0.1-security","This package name is not currently in use, but was formerly occupied by another package. To avoid malicious use, npm is hanging on to the package name, but loosely, and we'll probably give it to you if you want it.","ISC","node_modules/fs/README.md",""
"fsevents@2.3.2","fsevents","2.3.2","Native Access to MacOS FSEvents","MIT","node_modules/fsevents/LICENSE",""
"function-bind@1.1.1","function-bind","1.1.1","Implementation of Function.prototype.bind","MIT","node_modules/function-bind/LICENSE",""
"gensync@1.0.0-beta.2","gensync","1.0.0-beta.2","Allows users to use generators in order to write common functions that can be both sync or async.","MIT","node_modules/gensync/LICENSE",""
"get-caller-file@2.0.5","get-caller-file","2.0.5","[![Build Status](https://travis-ci.org/stefanpenner/get-caller-file.svg?branch=master)](https://travis-ci.org/stefanpenner/get-caller-file) [![Build status](https://ci.appveyor.com/api/projects/status/ol2q94g1932cy14a/branch/master?svg=true)](https://ci.appveyor.com/project/embercli/get-caller-file/branch/master)","ISC","node_modules/get-caller-file/LICENSE.md",""
"get-intrinsic@1.1.3","get-intrinsic","1.1.3","Get and robustly cache all JS language-level intrinsics at first require time","MIT","node_modules/get-intrinsic/LICENSE",""
"get-package-type@0.1.0","get-package-type","0.1.0","Determine the `package.json#type` which applies to a location","MIT","node_modules/get-package-type/LICENSE",""
"get-stream@4.1.0","get-stream","4.1.0","Get a stream as a string, buffer, or array","MIT","node_modules/got/node_modules/get-stream/license",""
"get-stream@5.2.0","get-stream","5.2.0","Get a stream as a string, buffer, or array","MIT","node_modules/cacheable-request/node_modules/get-stream/license",""
"get-stream@6.0.1","get-stream","6.0.1","Get a stream as a string, buffer, or array","MIT","node_modules/get-stream/license",""
"glob-parent@5.1.2","glob-parent","5.1.2","Extract the non-magic parent path from a glob string.","ISC","node_modules/glob-parent/LICENSE",""
"glob@7.1.6","glob","7.1.6","a little globber","ISC","node_modules/swagger-jsdoc/node_modules/glob/LICENSE",""
"glob@7.2.3","glob","7.2.3","a little globber","ISC","node_modules/glob/LICENSE",""
"global-dirs@3.0.1","global-dirs","3.0.1","Get the directory of globally installed packages and binaries","MIT","node_modules/global-dirs/license",""
"globals@11.12.0","globals","11.12.0","Global identifiers from different JavaScript environments","MIT","node_modules/globals/license",""
"got@9.6.0","got","9.6.0","Simplified HTTP requests","MIT","node_modules/got/license",""
"graceful-fs@4.2.10","graceful-fs","4.2.10","A drop-in replacement for fs, making various improvements.","ISC","node_modules/graceful-fs/LICENSE",""
"graphlib@2.1.8","graphlib","2.1.8","A directed and undirected multi-graph library","MIT","node_modules/graphlib/LICENSE",""
"has-flag@3.0.0","has-flag","3.0.0","Check if argv has a specific flag","MIT","node_modules/license-checker/node_modules/has-flag/license",""
"has-flag@4.0.0","has-flag","4.0.0","Check if argv has a specific flag","MIT","node_modules/has-flag/license",""
"has-symbols@1.0.3","has-symbols","1.0.3","Determine if the JS environment has Symbol support. Supports spec, or shams.","MIT","node_modules/has-symbols/LICENSE",""
"has-yarn@2.1.0","has-yarn","2.1.0","Check if a project is using Yarn","MIT","node_modules/has-yarn/license",""
"has@1.0.3","has","1.0.3","Object.prototype.hasOwnProperty.call shortcut","MIT","node_modules/has/LICENSE-MIT",""
"hexoid@1.0.0","hexoid","1.0.0","A tiny (190B) and extremely fast utility to generate random IDs of fixed length","MIT","node_modules/hexoid/license",""
"hosted-git-info@2.8.9","hosted-git-info","2.8.9","Provides metadata and conversions from repository urls for Github, Bitbucket and Gitlab","ISC","node_modules/hosted-git-info/LICENSE",""
"html-escaper@2.0.2","html-escaper","2.0.2","fast and safe way to escape and unescape &<>'" chars","MIT","node_modules/html-escaper/LICENSE.txt",""
"http-cache-semantics@4.1.0","http-cache-semantics","4.1.0","Parses Cache-Control and other headers. Helps building correct HTTP caches and proxies","BSD-2-Clause","node_modules/http-cache-semantics/LICENSE",""
"http-errors@2.0.0","http-errors","2.0.0","Create HTTP error objects","MIT","node_modules/http-errors/LICENSE",""
"human-signals@2.1.0","human-signals","2.1.0","Human-friendly process signals","Apache-2.0","node_modules/human-signals/LICENSE",""
"iconv-lite@0.4.24","iconv-lite","0.4.24","Convert character encodings in pure javascript.","MIT","node_modules/iconv-lite/LICENSE",""
"ignore-by-default@1.0.1","ignore-by-default","1.0.1","A list of directories you should ignore by default","ISC","node_modules/ignore-by-default/LICENSE",""
"import-lazy@2.1.0","import-lazy","2.1.0","Import modules lazily","MIT","node_modules/import-lazy/license",""
"import-local@3.1.0","import-local","3.1.0","Let a globally installed package use a locally installed version of itself if available","MIT","node_modules/import-local/license",""
"imurmurhash@0.1.4","imurmurhash","0.1.4","An incremental implementation of MurmurHash3","MIT","node_modules/imurmurhash/README.md",""
"inflight@1.0.6","inflight","1.0.6","Add callbacks to requests in flight to avoid async duplication","ISC","node_modules/inflight/LICENSE",""
"inherits@2.0.4","inherits","2.0.4","Browser-friendly inheritance fully compatible with standard node.js inherits()","ISC","node_modules/inherits/LICENSE",""
"ini@1.3.8","ini","1.3.8","An ini encoder/decoder for node","ISC","node_modules/rc/node_modules/ini/LICENSE",""
"ini@2.0.0","ini","2.0.0","An ini encoder/decoder for node","ISC","node_modules/ini/LICENSE",""
"ipaddr.js@1.9.1","ipaddr.js","1.9.1","A library for manipulating IPv4 and IPv6 addresses in JavaScript.","MIT","node_modules/ipaddr.js/LICENSE",""
"is-arrayish@0.2.1","is-arrayish","0.2.1","Determines if an object can be used as an array","MIT","node_modules/is-arrayish/LICENSE",""
"is-binary-path@2.1.0","is-binary-path","2.1.0","Check if a file path is a binary file","MIT","node_modules/is-binary-path/license",""
"is-ci@2.0.0","is-ci","2.0.0","Detect if the current environment is a CI server","MIT","node_modules/is-ci/LICENSE",""
"is-core-module@2.11.0","is-core-module","2.11.0","Is this specifier a node.js core module?","MIT","node_modules/is-core-module/LICENSE",""
"is-extglob@2.1.1","is-extglob","2.1.1","Returns true if a string has an extglob.","MIT","node_modules/is-extglob/LICENSE",""
"is-fullwidth-code-point@3.0.0","is-fullwidth-code-point","3.0.0","Check if the character represented by a given Unicode code point is fullwidth","MIT","node_modules/is-fullwidth-code-point/license",""
"is-generator-fn@2.1.0","is-generator-fn","2.1.0","Check if something is a generator function","MIT","node_modules/is-generator-fn/license",""
"is-glob@4.0.3","is-glob","4.0.3","Returns `true` if the given string looks like a glob pattern or an extglob pattern. This makes it easy to create code that only uses external modules like node-glob when necessary, resulting in much faster code execution and initialization time, and a better user experience.","MIT","node_modules/is-glob/LICENSE",""
"is-installed-globally@0.4.0","is-installed-globally","0.4.0","Check if your package was installed globally","MIT","node_modules/is-installed-globally/license",""
"is-npm@5.0.0","is-npm","5.0.0","Check if your code is running as an npm script","MIT","node_modules/is-npm/license",""
"is-number@7.0.0","is-number","7.0.0","Returns true if a number or string value is a finite number. Useful for regex matches, parsing, user input, etc.","MIT","node_modules/is-number/LICENSE",""
"is-obj@2.0.0","is-obj","2.0.0","Check if a value is an object","MIT","node_modules/is-obj/license",""
"is-path-inside@3.0.3","is-path-inside","3.0.3","Check if a path is inside another path","MIT","node_modules/is-path-inside/license",""
"is-stream@2.0.1","is-stream","2.0.1","Check if something is a Node.js stream","MIT","node_modules/is-stream/license",""
"is-typedarray@1.0.0","is-typedarray","1.0.0","Detect whether or not an object is a Typed Array","MIT","node_modules/is-typedarray/LICENSE.md",""
"is-yarn-global@0.3.0","is-yarn-global","0.3.0","Check if installed by yarn globally without any `fs` calls","MIT","node_modules/is-yarn-global/LICENSE",""
"isexe@2.0.0","isexe","2.0.0","Minimal module to check if a file is executable.","ISC","node_modules/isexe/LICENSE",""
"istanbul-lib-coverage@3.2.0","istanbul-lib-coverage","3.2.0","Data library for istanbul coverage objects","BSD-3-Clause","node_modules/istanbul-lib-coverage/LICENSE",""
"istanbul-lib-instrument@5.2.1","istanbul-lib-instrument","5.2.1","Core istanbul API for JS code coverage","BSD-3-Clause","node_modules/istanbul-lib-instrument/LICENSE",""
"istanbul-lib-report@3.0.0","istanbul-lib-report","3.0.0","Base reporting library for istanbul","BSD-3-Clause","node_modules/istanbul-lib-report/LICENSE",""
"istanbul-lib-source-maps@4.0.1","istanbul-lib-source-maps","4.0.1","Source maps support for istanbul","BSD-3-Clause","node_modules/istanbul-lib-source-maps/LICENSE",""
"istanbul-reports@3.1.5","istanbul-reports","3.1.5","istanbul reports","BSD-3-Clause","node_modules/istanbul-reports/LICENSE",""
"jest-changed-files@29.2.0","jest-changed-files","29.2.0","A module used internally by Jest to check which files have changed since you last committed in git or hg.","MIT","node_modules/jest-changed-files/LICENSE",""
"jest-circus@29.3.1","jest-circus","29.3.1","[type-definitions]: https://github.com/facebook/jest/blob/main/packages/jest-types/src/Circus.ts","MIT","node_modules/jest-circus/LICENSE",""
"jest-cli@29.3.1","jest-cli","29.3.1","Delightful JavaScript Testing.","MIT","node_modules/jest-cli/LICENSE",""
"jest-config@29.3.1","jest-config","29.3.1","","MIT","node_modules/jest-config/LICENSE",""
"jest-diff@29.3.1","jest-diff","29.3.1","Display differences clearly so people can review changes confidently.","MIT","node_modules/jest-diff/LICENSE",""
"jest-docblock@29.2.0","jest-docblock","29.2.0","`jest-docblock` is a package that can extract and parse a specially-formatted comment called a "docblock" at the top of a file.","MIT","node_modules/jest-docblock/LICENSE",""
"jest-each@29.3.1","jest-each","29.3.1","Parameterised tests for Jest","MIT","node_modules/jest-each/LICENSE",""
"jest-environment-node@29.3.1","jest-environment-node","29.3.1","","MIT","node_modules/jest-environment-node/LICENSE",""
"jest-get-type@29.2.0","jest-get-type","29.2.0","A utility function to get the type of a value","MIT","node_modules/jest-get-type/LICENSE",""
"jest-haste-map@29.3.1","jest-haste-map","29.3.1","","MIT","node_modules/jest-haste-map/LICENSE",""
"jest-leak-detector@29.3.1","jest-leak-detector","29.3.1","Module for verifying whether an object has been garbage collected or not.","MIT","node_modules/jest-leak-detector/LICENSE",""
"jest-matcher-utils@29.3.1","jest-matcher-utils","29.3.1","A set of utility functions for expect and related packages","MIT","node_modules/jest-matcher-utils/LICENSE",""
"jest-message-util@29.3.1","jest-message-util","29.3.1","","MIT","node_modules/jest-message-util/LICENSE",""
"jest-mock@29.3.1","jest-mock","29.3.1","**Note:** More details on user side API can be found in [Jest documentation](https://jestjs.io/docs/mock-function-api).","MIT","node_modules/jest-mock/LICENSE",""
"jest-pnp-resolver@1.2.3","jest-pnp-resolver","1.2.3","plug'n'play resolver for Webpack","MIT","node_modules/jest-pnp-resolver/README.md",""
"jest-regex-util@29.2.0","jest-regex-util","29.2.0","","MIT","node_modules/jest-regex-util/LICENSE",""
"jest-resolve-dependencies@29.3.1","jest-resolve-dependencies","29.3.1","","MIT","node_modules/jest-resolve-dependencies/LICENSE",""
"jest-resolve@29.3.1","jest-resolve","29.3.1","","MIT","node_modules/jest-resolve/LICENSE",""
"jest-runner@29.3.1","jest-runner","29.3.1","","MIT","node_modules/jest-runner/LICENSE",""
"jest-runtime@29.3.1","jest-runtime","29.3.1","","MIT","node_modules/jest-runtime/LICENSE",""
"jest-snapshot@29.3.1","jest-snapshot","29.3.1","","MIT","node_modules/jest-snapshot/LICENSE",""
"jest-util@29.3.1","jest-util","29.3.1","","MIT","node_modules/jest-util/LICENSE",""
"jest-validate@29.3.1","jest-validate","29.3.1","Generic configuration validation tool that helps you with warnings, errors and deprecation messages as well as showing users examples of correct configuration.","MIT","node_modules/jest-validate/LICENSE",""
"jest-watcher@29.3.1","jest-watcher","29.3.1","Delightful JavaScript Testing.","MIT","node_modules/jest-watcher/LICENSE",""
"jest-worker@29.3.1","jest-worker","29.3.1","Module for executing heavy tasks under forked processes in parallel, by providing a `Promise` based interface, minimum overhead, and bound workers.","MIT","node_modules/jest-worker/LICENSE",""
"jest@29.3.1","jest","29.3.1","Delightful JavaScript Testing.","MIT","node_modules/jest/LICENSE",""
"js-tokens@4.0.0","js-tokens","4.0.0","A regex that tokenizes JavaScript.","MIT","node_modules/js-tokens/LICENSE",""
"js-yaml@3.14.1","js-yaml","3.14.1","YAML 1.2 parser and serializer","MIT","node_modules/@istanbuljs/load-nyc-config/node_modules/js-yaml/LICENSE",""
"js-yaml@4.1.0","js-yaml","4.1.0","YAML 1.2 parser and serializer","MIT","node_modules/js-yaml/LICENSE",""
"js2xmlparser@4.0.2","js2xmlparser","4.0.2","Parses JavaScript objects into XML","Apache-2.0","node_modules/js2xmlparser/LICENSE",""
"jsdoc@4.0.0","jsdoc","4.0.0","An API documentation generator for JavaScript.","Apache-2.0","node_modules/jsdoc/LICENSE.md",""
"jsesc@2.5.2","jsesc","2.5.2","Given some data, jsesc returns the shortest possible stringified & ASCII-safe representation of that data.","MIT","node_modules/jsesc/LICENSE-MIT.txt",""
"json-buffer@3.0.0","json-buffer","3.0.0","JSON parse & stringify that supports binary via bops & base64","MIT","node_modules/json-buffer/LICENSE",""
"json-parse-even-better-errors@2.3.1","json-parse-even-better-errors","2.3.1","JSON.parse with context information on error","MIT","node_modules/json-parse-even-better-errors/LICENSE.md",""
"json-refs@3.0.15","json-refs","3.0.15","Various utilities for JSON References (http://tools.ietf.org/html/draft-pbryan-zyp-json-ref-03).","MIT","node_modules/json-refs/LICENSE",""
"json-schema-traverse@1.0.0","json-schema-traverse","1.0.0","Traverse JSON Schema passing each schema object to callback","MIT","node_modules/json-schema-traverse/LICENSE",""
"json5@2.2.2","json5","2.2.2","JSON for Humans","MIT","node_modules/json5/LICENSE.md",""
"keyv@3.1.0","keyv","3.1.0","Simple key-value storage with support for multiple backends","MIT","node_modules/keyv/LICENSE",""
"klaw@3.0.0","klaw","3.0.0","File system walker with Readable stream interface.","MIT","node_modules/klaw/LICENSE",""
"kleur@3.0.3","kleur","3.0.3","The fastest Node.js library for formatting terminal text with ANSI colors~!","MIT","node_modules/kleur/license",""
"latest-version@5.1.0","latest-version","5.1.0","Get the latest version of an npm package","MIT","node_modules/latest-version/license",""
"leven@3.1.0","leven","3.1.0","Measure the difference between two strings using the fastest JS implementation of the Levenshtein distance algorithm","MIT","node_modules/leven/license",""
"license-checker@25.0.1","license-checker","25.0.1","Check license info for a package","BSD-3-Clause","node_modules/license-checker/LICENSE",""
"lines-and-columns@1.2.4","lines-and-columns","1.2.4","Maps lines and columns to character offsets and back.","MIT","node_modules/lines-and-columns/LICENSE",""
"linkify-it@3.0.3","linkify-it","3.0.3","Links recognition library with FULL unicode support","MIT","node_modules/linkify-it/LICENSE",""
"locate-path@5.0.0","locate-path","5.0.0","Get the first path that exists on disk of multiple paths","MIT","node_modules/locate-path/license",""
"lodash.get@4.4.2","lodash.get","4.4.2","The lodash method `_.get` exported as a module.","MIT","node_modules/lodash.get/LICENSE",""
"lodash.isequal@4.5.0","lodash.isequal","4.5.0","The Lodash method `_.isEqual` exported as a module.","MIT","node_modules/lodash.isequal/LICENSE",""
"lodash.memoize@4.1.2","lodash.memoize","4.1.2","The lodash method `_.memoize` exported as a module.","MIT","node_modules/lodash.memoize/LICENSE",""
"lodash.mergewith@4.6.2","lodash.mergewith","4.6.2","The Lodash method `_.mergeWith` exported as a module.","MIT","node_modules/lodash.mergewith/LICENSE",""
"lodash@4.17.21","lodash","4.17.21","Lodash modular utilities.","MIT","node_modules/lodash/LICENSE",""
"lowercase-keys@1.0.1","lowercase-keys","1.0.1","Lowercase the keys of an object","MIT","node_modules/lowercase-keys/license",""
"lowercase-keys@2.0.0","lowercase-keys","2.0.0","Lowercase the keys of an object","MIT","node_modules/cacheable-request/node_modules/lowercase-keys/license",""
"lru-cache@5.1.1","lru-cache","5.1.1","A cache object that deletes the least-recently-used items.","ISC","node_modules/lru-cache/LICENSE",""
